Mainboard Time [s],RTK GPS Lat [deg],RTK GPS Lon [deg],Stiffness [N/m],R_Squared,Leg Ind
408.243,45.3453611,-121.70901049999999,578.7276772249103,0.35925843603566454,2
413.20703,45.3453607,-121.7090095,2485.43252636236,0.9165708517259272,0
418.282,45.3453616,-121.7090099,1018.5892907471093,0.6305722320541507,3
423.41202,45.345360899999996,-121.7090092,2794.4305540356972,0.9378567243764374,1
428.93103,45.345360899999996,-121.70901029999999,1477.8755522138417,0.924428805622499,2
435.05103,45.345361,-121.7090087,545.8967392803497,0.33572100840195274,0
440.881,45.3453618,-121.70900929999999,698.5573257055885,0.5092922307037295,3
446.75504,45.345361999999994,-121.70900839999999,581.21114372062,0.6593884751783547,1
452.81802,45.345361999999994,-121.70900959999999,632.9074603324935,0.9573537818434569,2
459.16602,45.345362099999996,-121.7090075,1494.1013628464389,0.7346681835187028,0
465.135,45.345363,-121.7090082,1289.6114155606176,0.6088851354096878,3
470.71802,45.345363,-121.70900739999999,1218.876016655496,0.679054504632886,1
476.69504,45.345363,-121.70900859999999,692.8802309084058,0.9617463667293112,2
483.00403,45.3453632,-121.70900689999999,1542.635280877275,0.8452746503374069,0
489.28802,45.3453636,-121.70900759999999,3670.2337753688457,0.958962535018345,3
494.911,45.3453638,-121.7090073,322.907037124187,0.47399028637592056,1
500.64304,45.345363899999995,-121.70900859999999,994.4940167211934,0.951059890364771,2
507.062,45.345364,-121.7090068,1605.2887516868118,0.9249830576438834,0
