Mainboard Time [s],RTK GPS Lat [deg],RTK GPS Lon [deg],Stiffness [N/m],R_Squared,Leg Ind
261.48,45.3452902,-121.7096157,2274.225230470035,0.9343245176639947,2
266.354,45.3452895,-121.70961539999999,1923.0255866562318,0.9606016807104455,0
271.01102,45.3452969,-121.7096258,2107.5668702471226,0.9514632448610255,3
276.017,45.3452962,-121.7096253,3395.076170993292,0.9783606213862092,1
280.71503,45.345296499999996,-121.7096267,2581.2564429448566,0.9273571287415205,2
285.833,45.345295799999995,-121.70962569999999,3242.6237934279843,0.9766628988673955,0
290.23203,45.345296499999996,-121.7096255,3064.5516366064267,0.9709097150299616,3
295.022,45.3452962,-121.70962519999999,543.6271200777313,0.4281793508997681,1
300.31802,45.345296499999996,-121.7096267,1661.6283249954988,0.9838367454860538,2
306.402,45.345296399999995,-121.70962499999999,2058.172112728708,0.9715618546901548,0
312.299,45.3452973,-121.7096253,3153.494215856577,0.9805427884388119,3
318.26,45.3452972,-121.7096239,2124.382352150453,0.9590889585322787,1
324.34402,45.3452973,-121.7096251,991.3620975043964,0.8648870920497289,2
330.65402,45.345297099999996,-121.70962329999999,1584.5553663733183,0.9765721367698504,0
336.47803,45.3452979,-121.70962349999999,2617.7224876120777,0.9427580184154659,3
342.233,45.3452981,-121.70962279999999,2090.537759513504,0.7968645685292437,1
348.226,45.345298299999996,-121.70962399999999,1161.028992462963,0.9769180684767895,2
354.47202,45.345298199999995,-121.70962209999999,1589.9428076945312,0.9715143097019203,0
360.33502,45.3452991,-121.7096224,682.2897806307224,0.5958660525014549,3
366.39603,45.345298899999996,-121.70962109999999,357.64246815849566,0.6070185927403884,1
372.259,45.3452991,-121.7096224,516.7997396539615,0.9610700252855795,2
378.18002,45.3452985,-121.70962069999999,2128.265752326609,0.9733841158685145,0
384.04102,45.345299499999996,-121.70962089999999,2371.2921964048965,0.9717629333545648,3
390.18103,45.3452987,-121.7096196,2159.8071882855947,0.8328908727330162,1
405.544,45.3452992,-121.709621,504.6599059599848,0.9166327541088374,2
411.829,45.3452986,-121.7096194,1464.1508346603125,0.9499396724284936,0
417.653,45.345299499999996,-121.70961949999999,1595.4392393116498,0.9321944834532401,3
423.58502,45.345298799999995,-121.7096184,1988.111877570994,0.9160739275724952,1
429.73102,45.345298799999995,-121.70961969999999,1104.6089986651778,0.946398996624791,2
436.03802,45.3452987,-121.7096179,1762.9552335646918,0.964011102140421,0
441.94202,45.345299399999995,-121.70961799999999,2095.9702443575475,0.964129360152954,3
447.76804,45.3452991,-121.7096164,2493.940177932681,0.9514329962717993,1
453.78903,45.3452992,-121.7096176,1057.0301208445874,0.9681712526271627,2
460.07803,45.3452991,-121.7096158,1750.1367599200141,0.9722358638894713,0
465.92902,45.3453008,-121.709617,2698.794975262382,0.9521459354148164,3
471.81702,45.345300599999995,-121.7096157,581.8187320696354,0.6725173153942194,1
477.58902,45.3453008,-121.70961709999999,1156.3055612421908,0.9498647361925302,2
483.65604,45.3453004,-121.7096157,1464.5184356421125,0.9571613134966138,0
489.33002,45.345301299999996,-121.70961589999999,1773.5972442493164,0.9628426673116433,3
494.90204,45.3453009,-121.70961489999999,1976.8959197308568,0.9626507213668644,1
500.726,45.3453011,-121.7096162,1434.1995642394206,0.9664000015272215,2
506.91302,45.3453008,-121.709615,1576.2644390148755,0.9750825511292258,0
512.62604,45.3453017,-121.70961519999999,1822.5211238606078,0.9683156999348427,3
518.33105,45.3453014,-121.70961419999999,2264.0986898541723,0.9687947400690897,1
524.224,45.3453015,-121.70961539999999,1513.2831853793107,0.9824675190002934,2
530.422,45.3453009,-121.70961369999999,1293.9747985063395,0.9714008275822043,0
536.041,45.3453022,-121.7096145,1672.6645110008305,0.8903608651289159,3
541.611,45.345301899999995,-121.70961369999999,814.6886751679135,0.5988346356461315,1
547.685,45.3453021,-121.70961489999999,1292.3214407418136,0.956698972790427,2
553.895,45.345302,-121.7096131,1855.6466929590936,0.9763221195052724,0
559.661,45.3453028,-121.7096133,2147.0851932193636,0.9542300663912199,3
565.70605,45.345302499999995,-121.70961199999999,1650.4941087406419,0.9473828361964728,1
571.74603,45.345302499999995,-121.7096133,1281.7971941871658,0.8725938284183293,2
577.86804,45.3453024,-121.7096114,1913.3734057641782,0.9513662054374459,0
583.68805,45.345303799999996,-121.70961229999999,2005.8279661757367,0.9386354009958525,3
590.002,45.3453035,-121.7096107,1907.08748819527,0.9269312970889461,1
595.95,45.345303699999995,-121.70961199999999,1430.891486258218,0.9254908445978263,2
601.85004,45.3453034,-121.7096108,1253.1950544950253,0.9687788849221165,0
607.49805,45.3453041,-121.709611,1876.9553504663058,0.9637818584654425,3
613.486,45.3453035,-121.7096096,1440.4844207448677,0.9163737666884759,1
619.622,45.345303699999995,-121.70961109999999,1666.7858537688005,0.9357770391084624,2
625.78503,45.345303699999995,-121.7096093,2215.2846807913606,0.9839847131629665,0
631.434,45.345304899999995,-121.7096102,1893.586478299505,0.9494895513468722,3
637.526,45.3453046,-121.70960889999999,1707.2984017458086,0.9249934940651854,1
643.48004,45.3453047,-121.7096102,1163.4283025545415,0.9472546359665853,2
649.56305,45.3453047,-121.7096091,1470.7482958719092,0.8769176556329837,0
674.56903,45.3453054,-121.7096091,1425.477482167348,0.9290655150582379,3
681.142,45.3453053,-121.7096079,84.40810623304871,0.27159457817906285,1
687.20605,45.3453053,-121.7096093,1849.6273924399766,0.9047261071138005,2
692.68805,45.3453057,-121.70960799999999,2194.508662195156,0.9430389485682354,0
698.424,45.3453065,-121.7096083,1458.891846797165,0.9498231434009141,3
704.546,45.345306199999996,-121.70960679999999,201.6109397486305,0.3308099132992802,1
710.158,45.3453063,-121.7096081,2383.298815400547,0.9495125491975063,2
715.47205,45.3453064,-121.7096072,2090.8194947973493,0.9604476944155496,0
721.161,45.345307299999995,-121.7096076,1343.997996001615,0.9578777195457302,3
726.91205,45.3453069,-121.70960649999999,505.9313472972067,0.7728994316258416,1
732.658,45.345306699999995,-121.70960769999999,1732.3345729618661,0.9591384279539666,2
738.674,45.3453066,-121.7096064,2148.2821500955833,0.9468165085377706,0
746.111,45.345307399999996,-121.70960699999999,2099.6044739326426,0.9747596055363931,3
751.74005,45.3453071,-121.70960629999999,1586.0538514347363,0.9316885661331047,1
757.543,45.3453072,-121.7096074,1189.1767217904987,0.9262979174374097,2
763.93005,45.345307,-121.7096057,1769.2040089178886,0.9457708169436431,0
769.684,45.345307899999995,-121.7096062,1728.8417991609217,0.9309335944307207,3
775.85004,45.3453081,-121.7096052,931.9655693350114,0.9466961296991355,1
781.965,45.3453082,-121.70960629999999,920.7458733370402,0.8379437422756252,2
788.09,45.3453084,-121.7096045,1847.266308406897,0.9309701125190813,0
793.54407,45.3453093,-121.709605,2150.6835987013583,0.9421081988850735,3
799.59106,45.345309,-121.70960389999999,599.7490300971843,0.43182768897930857,1
805.45306,45.345309,-121.7096052,943.4832408869239,0.8762256764921296,2
811.66907,45.345309199999996,-121.7096033,1734.9500311283923,0.9644918722952199,0
817.41907,45.3453099,-121.7096038,2067.127717966847,0.9541692246039165,3
823.593,45.34531,-121.7096026,214.64068609843736,0.33353985095099825,1
829.455,45.34531,-121.709604,1256.022938552439,0.9237275951798021,2
835.603,45.3453103,-121.70960249999999,1782.979078079484,0.9610899566974568,0
841.161,45.345311099999996,-121.7096031,1715.8162328983349,0.9721507206223443,3
847.24207,45.345311099999996,-121.7096017,2734.5897882859294,0.9463755068883932,1
853.13806,45.345310999999995,-121.709603,1575.6919458710406,0.8915086735900779,2
859.19305,45.3453112,-121.7096014,1791.079670673117,0.9407535450344614,0
864.986,45.345312199999995,-121.70960219999999,1485.800200217785,0.9650235480319744,3
870.43304,45.345312,-121.7096007,1531.6222624759387,0.9380480963127593,1
876.39404,45.345312,-121.7096018,1178.8931126771001,0.9428202979236773,2
882.55206,45.345312199999995,-121.70960029999999,1451.4127089772658,0.9650239150667003,0
888.353,45.345313,-121.70960079999999,1634.452791904526,0.8636748628005052,3
894.45,45.3453131,-121.70959979999999,1617.1264378463718,0.9359680665535449,1
900.48505,45.345312899999996,-121.7096009,965.8473007527624,0.7577420224024264,2
906.56006,45.3453132,-121.70959939999999,1837.5600432504277,0.937218448089044,0
912.39703,45.345313999999995,-121.7096,2381.884080788995,0.9569977441589638,3
918.231,45.345314099999996,-121.70959889999999,2187.513329104505,0.9355001834824733,1
924.18805,45.345313999999995,-121.7096002,932.1642159054323,0.8997712294084941,2
930.16003,45.3453143,-121.7095987,1781.4749956848034,0.9515608665172905,0
935.908,45.3453151,-121.70959939999999,2580.988594032747,0.9635537038830271,3
941.90906,45.345315299999996,-121.7095988,1342.4090859985201,0.9031573094733995,1
947.77704,45.345315299999996,-121.70960009999999,691.3883561946286,0.9121404124522007,2
953.94305,45.3453155,-121.7095983,1373.6528843201984,0.9817798827703037,0
959.78906,45.345316399999994,-121.7095988,1519.0706800235937,0.9154196060979686,3
965.598,45.3453163,-121.7095978,1255.6630285089077,0.9203457660202798,1
971.67303,45.345316399999994,-121.7095992,1128.94543205738,0.9443060760657433,2
977.7131,45.3453166,-121.7095975,2122.3166550938954,0.9735185934110435,0
983.2521,45.3453175,-121.709598,1893.9098300884255,0.957262338310335,3
989.24603,45.3453174,-121.7095969,2316.8889142296375,0.9469719657509351,1
995.3041,45.3453172,-121.7095981,1726.0683594835916,0.9483571862393183,2
1001.59406,45.3453175,-121.7095966,2459.929527484424,0.9709228885172869,0
1007.408,45.345318299999995,-121.70959719999999,1735.9460387814606,0.9592419572944049,3
1013.1611,45.3453181,-121.70959599999999,294.32995727328216,0.5090715093421967,1
1019.168,45.3453184,-121.7095976,1782.9297575653748,0.955656295303762,2
1025.358,45.3453186,-121.7095959,2388.761783401999,0.9589199383430604,0
1031.2151,45.345319499999995,-121.7095963,1529.9669350834533,0.9639105541709798,3
1037.39,45.3453194,-121.7095951,341.14283304037116,0.6157436569809243,1
1043.2201,45.3453193,-121.7095964,1476.5885313071396,0.9234121458048574,2
1049.026,45.3453197,-121.7095952,1627.0488874519967,0.9637122519100728,0
1054.885,45.3453206,-121.7095957,1401.6487292021664,0.9474876418973021,3
1060.6061,45.3453204,-121.70959429999999,1615.8521304174092,0.9613737324879776,1
1066.562,45.3453204,-121.7095956,1248.641763112926,0.9168616526833665,2
1072.555,45.3453204,-121.70959429999999,1012.0335008654862,0.879621832657371,0
1078.218,45.345321299999995,-121.709595,3707.5049922770913,0.9433428177910459,3
1083.9811,45.345321399999996,-121.7095939,1798.2509852549244,0.9567481289551031,1
1089.941,45.345321399999996,-121.7095952,1598.6723117731653,0.9558336204334965,2
1095.9231,45.3453217,-121.7095937,2026.7194544323106,0.9655855150189572,0
1101.66,45.345322499999995,-121.70959429999999,2852.469220647644,0.9706994378564332,3
1107.3451,45.3453223,-121.709593,2095.0467115402284,0.9707709402480903,1
